Generation,Sorted,Random
0,796.613,674.401
1,796.613,674.401
2,867.508,674.401
3,867.508,674.401
4,900.941,674.401
5,900.941,674.401
6,909.497,674.401
7,909.497,674.401
8,909.497,674.401
9,942.856,674.401
10,942.856,674.401
11,942.856,674.401
12,942.856,674.401
13,942.856,674.401
14,942.856,674.401
15,942.856,674.401
16,942.856,674.401
17,942.856,674.401
18,942.856,674.401
19,942.856,674.401
20,942.856,674.401
21,942.856,674.401
22,942.856,674.401
23,942.856,674.401
24,942.856,674.401
25,942.856,674.401
26,942.856,674.401
27,942.856,674.401
28,942.856,674.401
29,942.856,674.401
30,942.856,674.401
31,942.856,674.401
32,942.856,674.401
33,942.856,674.401
34,942.856,674.401
35,942.856,674.401
36,942.856,674.401
37,942.856,674.401
38,942.856,674.401
39,942.856,674.401
40,942.856,674.401
41,942.856,674.401
42,942.856,674.401
43,942.856,674.401
44,942.856,674.401
45,942.856,674.401
46,942.856,674.401
47,942.856,674.401
48,942.856,674.401
49,942.856,674.401
50,942.856,674.401
51,942.856,674.401
52,942.856,674.401
53,942.856,674.401
54,942.856,674.401
55,942.856,674.401
56,942.856,674.401
57,942.856,674.401
58,942.856,674.401
59,942.856,674.401
60,942.856,674.401
61,942.856,674.401
62,942.856,674.401
63,942.856,674.401
64,942.856,674.401
65,942.856,674.401
66,1003.14,674.401
67,1003.14,674.401
68,1003.14,674.401
69,1003.14,674.401
70,1003.14,674.401
71,1003.14,674.401
72,1003.14,674.401
73,1003.14,674.401
74,1003.14,674.401
75,1003.14,674.401
76,1003.14,674.401
77,1003.14,674.401
78,1003.14,674.401
79,1003.14,674.401
80,1003.14,674.401
81,1003.14,674.401
82,1003.14,674.401
83,1003.14,674.401
84,1003.14,674.401
85,1003.14,674.401
86,1003.14,674.401
87,1003.14,674.401
88,1003.14,674.401
89,1003.14,674.401
90,1003.14,674.401
91,1003.14,674.401
92,1003.14,674.401
93,1003.14,674.401
94,1003.14,674.401
95,1003.14,674.401
96,1003.14,674.401
97,1003.14,674.401
98,1003.14,674.401
99,1003.14,674.401
100,1003.14,674.401
